AC,F1,SN,SP,CCR,MCC,AUC,AUPRC
0.5925925925925926,0.5822784810126582,0.5897435897435898,0.5952380952380952,0.5924908424908425,0.18486885686201948,0.5924908424908425,0.5366334283000949
0.7530864197530864,0.7916666666666665,0.8085106382978723,0.6764705882352942,0.7424906132665832,0.4895987336605798,0.7424906132665833,0.7381193612196651
0.654320987654321,0.7200000000000001,0.8,0.4722222222222222,0.6361111111111111,0.2897430740346505,0.6361111111111111,0.6347474747474747
0.7777777777777778,0.7954545454545455,0.7954545454545454,0.7567567567567568,0.7761056511056511,0.5522113022113022,0.7761056511056511,0.7438590449954087
0.6790123456790124,0.7045454545454545,0.6078431372549019,0.8,0.7039215686274509,0.39537724781260997,0.703921568627451,0.7561875601091288
0.5925925925925926,0.6292134831460674,0.7567567567567568,0.45454545454545453,0.6056511056511057,0.21954854917066693,0.6056511056511057,0.5185955185955186
0.6790123456790124,0.7173913043478262,0.868421052631579,0.5116279069767442,0.6900244798041616,0.4023340714112587,0.6900244798041616,0.5924301494476933
0.7160493827160493,0.7472527472527473,0.7906976744186046,0.631578947368421,0.7111383108935128,0.42888956119574845,0.7111383108935129,0.6711886304909561
0.654320987654321,0.688888888888889,0.7045454545454546,0.5945945945945946,0.6495700245700247,0.30080761265806744,0.6495700245700246,0.6352961987019958
0.691358024691358,0.6753246753246753,0.6046511627906976,0.7894736842105263,0.697062423500612,0.3985395753992845,0.697062423500612,0.6722568441674689
